scientific_name,common_name,family,combined_red_list,combined_span_min,combined_span_max,estimated_dry_mass,months_to_adult
Triodia sylvina,Orange Swift,Hepialidae,LC,12.0,26.0,53.7,10
Korscheltellus lupulina,Common Swift,Hepialidae,LC,11.0,20.0,28.8,12
Korscheltellus fusconebulosa,Map-winged Swift,Hepialidae,LC,14.0,26.0,62.8,12
Phymatopus hecta,Gold Swift,Hepialidae,LC,12.0,16.0,21.1,12
Hepialus humuli,Ghost Moth,Hepialidae,LC,21.0,35.0,175.5,12
Cossus cossus,Goat Moth,Cossidae,LC,32.0,42.0,411.4,12
Zeuzera pyrina,Leopard Moth,Cossidae,LC,22.0,35.0,185.3,13
Phragmataecia castaneae,Reed Leopard,Cossidae,NT,15.0,23.0,53.7,12
Pennisetia hylaeiformis,Raspberry Clearwing,Sesiidae,LC,11.0,13.0,13.2,12
Sesia apiformis,Hornet Moth,Sesiidae,RE,17.0,21.0,53.7,12
Sesia bembeciformis,Lunar Hornet Moth,Sesiidae,LC,15.0,19.0,38.2,13
Paranthrene tabaniformis,Dusky Clearwing,Sesiidae,RE,13.0,14.0,18.9,0
Synanthedon scoliaeformis,Welsh Clearwing,Sesiidae,VU,12.0,15.0,18.9,12
Synanthedon spheciformis,White-barred Clearwing,Sesiidae,LC,12.0,14.0,16.8,12
Synanthedon culiciformis,Large Red-belted Clearwing,Sesiidae,LC,12.0,14.0,16.8,11
Synanthedon formicaeformis,Red-tipped Clearwing,Sesiidae,LC,9.0,11.0,7.5,12
Synanthedon flaviventris,Sallow Clearwing,Sesiidae,LC,8.0,9.0,4.6,12
Synanthedon andrenaeformis,Orange-tailed Clearwing,Sesiidae,LC,9.0,11.0,7.5,12
Synanthedon myopaeformis,Red-belted Clearwing,Sesiidae,LC,9.0,11.0,7.5,10
Synanthedon vespiformis,Yellow-legged Clearwing,Sesiidae,LC,10.0,12.0,10.1,11
Synanthedon tipuliformis,Currant Clearwing,Sesiidae,LC,8.0,10.0,5.5,10
Bembecia ichneumoniformis,Six-belted Clearwing,Sesiidae,LC,9.0,12.0,8.8,12
Pyropteron chrysidiformis,Fiery Clearwing,Sesiidae,EN,9.0,12.0,8.8,10
Pyropteron muscaeformis,Thrift Clearwing,Sesiidae,CR,6.0,8.0,2.5,10
Apoda limacodes,Festoon,Limacodidae,LC,10.0,13.0,11.6,3
Heterogenea asella,Triangle,Limacodidae,LC,5.0,11.0,3.8,4
Jordanita globulariae,Scarce Forester,Zygaenidae,NT,10.0,15.0,14.9,11
Adscita statices,Forester,Zygaenidae,EN,11.0,15.0,16.8,11
Adscita geryon,Cistus Forester,Zygaenidae,LC,9.0,12.0,8.8,11
Zygaena purpuralis,Transparent Burnet,Zygaenidae,LC,14.0,16.0,26.1,11
Zygaena loti,Slender Scotch Burnet,Zygaenidae,EN,14.0,16.0,26.1,11
Zygaena exulans,Scotch Burnet or Mountain Burnet,Zygaenidae,NT,10.0,16.0,16.8,12
Zygaena viciae,New Forest Burnet,Zygaenidae,CR,12.0,14.0,16.8,12
Zygaena filipendulae,Six-spot Burnet,Zygaenidae,LC,15.0,19.0,38.2,12
Zygaena lonicerae,Narrow-bordered Five-spot Burnet,Zygaenidae,VU,15.0,19.0,38.2,12
Zygaena trifolii,Five-spot Burnet,Zygaenidae,LC,14.0,19.0,34.9,12
Papilio machaon,Swallowtail,Papilionidae,NT,76.0,93.0,,2
Erynnis tages,Dingy Skipper,Hesperiidae,VU,27.0,34.0,,12
Pyrgus malvae,Grizzled Skipper,Hesperiidae,VU,23.0,29.0,,5
Carterocephalus palaemon,Chequered Skipper,Hesperiidae,EN,29.0,31.0,,9
Thymelicus lineola,Essex Skipper,Hesperiidae,LC,26.0,30.0,,4
Thymelicus sylvestris,Small Skipper,Hesperiidae,LC,27.0,34.0,,10
Thymelicus acteon,Lulworth Skipper,Hesperiidae,NT,24.0,28.0,,10
Hesperia comma,Silver-spotted Skipper,Hesperiidae,NT,29.0,37.0,,5
Ochlodes sylvanus,Large Skipper,Hesperiidae,LC,29.0,36.0,,12
Leptidea sinapis,Wood White,Pieridae,EN,42.0,42.0,,4
Leptidea juvernica,Cryptic Wood White,Pieridae,LC,42.0,42.0,,2
Anthocharis cardamines,Orange-tip,Pieridae,LC,40.0,53.0,,3
Aporia crataegi,Black-veined White,Pieridae,LC,,,,0
Pieris brassicae,Large White,Pieridae,LC,58.0,63.0,,10
Pieris rapae,Small White,Pieridae,LC,38.0,57.0,,8
Pieris napi,Green-veined White,Pieridae,LC,40.0,52.0,,8
